college,location,university,course_offered,ownership_type,phone_number,email,university_encoded,ownership_encoded,location_encoded
thames international college,surya bikram gyawali marg old baneshwor kathmandu,tribhuvan university,bachelor of business administration bba bachelor of information management bim bachelor of arts in social work basw bachelor of business studies bbs bachelor of computer application bca bachelor of business management bbm bachelor of arts in psychology bpsy bachelor of arts in rural development brd bachelor of arts in journalism and mass communication bajm bachelor of arts in sociology ba sociology master of business studies mbs cmat entrance preparation bca entrance preparation,private institution,014464584 014465660,admissionsthamescollegeedunp,34,3,900
texas international college,mitrapark chabhil kathmandu,tribhuvan university,bsc computer science and information technology bsc csit bachelor of computer application bca bachelor of business studies bbs bachelor of arts in social work basw bachelor of business management bbm bachelor of arts ba master of business studies mbs,private institution,014579017 014490670 014488627,enquirytexasintledunp,34,3,649
kings college,babar mahal kathmandu,westcliff university ca usa,bachelor in business administration bba bba digital marketing bba investment and economics bba applied arts and design bachelor of science in information technology  data science bsit data science master in business administration mba mba entrepreneurship mba nonprofit mba agribusiness mba technology and innovation mba data analytics transform your online teaching emotional intelligence mindset immersed a design approach to problem solving,private institution,015325909  015324520  015324574,admissionskingscollegeedunp,40,3,28
padmashree college,tinkune kathmandu,tribhuvan university,bachelor of information technology bit ba hons in business and hospitality management babhm bachelor of computer application bca bachelor of food technology btech food,private institution,014112252  014112403,padmashreecollegegmailcom,34,3,948
janamaitri multiple campus,kuleshwor kathmandu,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 humanities 2 humanities ten plus two 2 education 2 education bachelor of business studies bbs bachelor of business management bbm bachelor of computer application bca bachelor of arts ba bachelor of arts in social work basw bachelor of education bed bachelor of education in information communication technology bicte master of business studies mbs master of education general med,community institution,015377202,infojanamaitriedunp,24,1,533
nepal college of information technology,balkumari lalitpur,pokhara university,bachelor of business administration bba bachelor of civil engineering bachelor of engineering in information technology be it bachelor of software engineering bachelor of electronics and communication engineering be bachelor of computer engineering be computer bachelor of computer application bca master of computer information systems mcis master of computer engineering msc in computer science,private institution,015186354  015186358  015186360,infoncitedunp,28,3,56
khwopa college,dekocha6 bhaktapur,tribhuvan university,msc environmental science master of business studies mbs ma in english ma english ma in economics ma economics bachelor of business management bbm bsc environmental science bsc physics bachelor of business studies bbs bachelor of arts in social work basw bachelor of arts ba,community institution,016610932  01 6618031,infokhwopacollegeedunp,34,1,266
international school of tourism and hotel management ist college,gyaneshwor opposite to german embassy kathmandu,salzburg university of applied sciences,fhs diploma in hotel management bhm fhs diploma in travel and tourism management bttm 102 management  national examination board and tourism school salzburg austria,private institution,014534350 014534185,sanindraistorgnp,31,3,396
certified college of accountancy cca,thapagaun new baneshwor kathmandu,acca,acca acca foundations in accountancy fia fia,private institution,015245126,ccanepalgmailcom,0,3,931
kist college  ss,kamalpokhari kathmandu,national examinations board,ten plus two 2 management 2 mangement ten plus two 2 science 2 science bachelor of business administration bba bachelor of information management bim bachelor of information technology bit bachelor of business studies bbs bsc microbiology master of business studies mbs msc microbiology master of information technology mit,private institution,014534990 014534178,infokistedunp,24,3,470
softwarica college of it and ecommerce,dillibazar kathmandu,coventry university uk,bsc hons ethical hacking and cybersecurity bsc hons computing msc data science and computational intelligence,private institution,014441577  014425661,hellosoftwaricaedunp,8,3,313
